0;-11;175
1;317;235
2;483;242
3;373;231
4;402;158
5;239;197
6;458;96
7;365;9
8;175;273
9;73;38
10;395;134
11;491;260
12;125;108
13;38;179
14;26;272
15;86;7
16;301;127
17;162;147
18;334;213
19;415;122
20;170;244
21;272;53
22;36;136
23;40;268
24;64;170
25;24;246
26;485;31
27;80;289
28;243;74
29;218;221
30;17;270
31;29;251
32;267;95
33;459;162
34;313;26
35;237;179
36;37;133
37;438;40
38;285;64
39;347;91
40;130;274
41;170;37
42;337;104
43;29;93
44;205;87
45;121;133
46;389;9
47;292;131
48;176;111
49;135;267
50;131;62
51;54;275
52;268;49
53;15;135
54;38;114
55;101;25
56;420;95
57;381;234
58;491;180
59;419;88
60;175;119
61;7;165
62;446;138
63;232;38
64;59;7
65;338;1
66;439;262
67;107;122
68;119;177
69;196;104
70;396;190
71;611;175
